Device: PM2003001		2022:11:08    11:33:34,096  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:33:34,100
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA
10,000	-9,286	-9,343	-9,249	-9,174	-9,107	-9,079	-9,057	-9,043	-9,026	-9,023	-8,998	-8,967	-8,912	-8,825	-8,724	-0,133	0,065	0,086	0,129	0,120	0,117	0,104	0,106	0,098	0,113	0,133	0,153	0,182	0,200	0,156	0,000	0,000
11,000	-9,521	-9,459	-9,428	-9,322	-9,250	-9,199	-9,170	-9,146	-9,121	-9,102	-9,061	-9,022	-8,963	-8,864	-8,749	0,036	0,090	0,119	0,174	0,171	0,152	0,155	0,145	0,149	0,159	0,174	0,198	0,219	0,230	0,175	0,000	0,000
12,000	-14,468	-14,479	-14,421	-14,378	-14,327	-14,315	-14,307	-14,303	-14,289	-14,304	-14,279	-14,250	-14,198	-14,094	-13,966	-0,046	0,054	0,066	0,091	0,083	0,063	0,065	0,069	0,072	0,081	0,119	0,161	0,198	0,223	0,181	0,000	0,000
13,000	-8,238	-8,307	-8,291	-8,310	-8,300	-8,288	-8,267	-8,246	-8,223	-8,191	-8,135	-8,073	-7,972	-7,823	-7,626	-0,109	-0,049	-0,035	0,017	0,054	0,089	0,105	0,126	0,157	0,193	0,240	0,290	0,339	0,359	0,289	0,000	0,000
14,000	-11,980	-11,807	-11,924	-11,853	-11,843	-11,815	-11,796	-11,800	-11,784	-11,785	-11,769	-11,730	-11,657	-11,511	-11,328	-0,027	-0,110	-0,033	0,036	0,047	0,045	0,060	0,067	0,090	0,109	0,153	0,213	0,274	0,318	0,267	0,000	0,000
15,000	-9,131	-9,208	-9,185	-9,167	-9,132	-9,130	-9,124	-9,101	-9,083	-9,076	-9,057	-9,027	-8,977	-8,906	-8,819	-0,177	-0,025	-0,021	0,037	0,039	0,049	0,058	0,076	0,078	0,091	0,117	0,135	0,155	0,168	0,132	0,000	0,000
	run	3	2022:11:08    11:33:34,298
0,000	-13,367	-13,431	-13,471	-13,554	-13,579	-13,596	-13,603	-13,615	-13,612	-13,618	-13,612	-13,587	-13,538	-13,447	-13,340	-0,208	-0,177	-0,155	-0,109	-0,092	-0,058	-0,035	-0,019	0,013	0,036	0,073	0,121	0,168	0,191	0,154	0,000	0,000
1,000	-16,388	-16,403	-16,315	-16,119	-15,946	-15,823	-15,760	-15,705	-15,642	-15,606	-15,550	-15,500	-15,440	-15,344	-15,239	-0,013	0,173	0,233	0,356	0,378	0,340	0,323	0,285	0,266	0,247	0,241	0,242	0,237	0,236	0,173	0,000	0,000
2,000	-10,296	-10,282	-10,253	-10,116	-10,006	-9,928	-9,889	-9,846	-9,794	-9,762	-9,696	-9,617	-9,522	-9,375	-9,212	0,042	0,111	0,168	0,247	0,257	0,238	0,247	0,242	0,246	0,251	0,290	0,315	0,336	0,341	0,254	0,000	0,000
